word,definition,phonetic,example
algorithm,算法,/ælɡɚɪðəm/,"In this project, algorithm is important for writing clear and reliable code."
variable,变量,/veriəbəl/,"In this project, variable is important for writing clear and reliable code."
constant,常量,/kɑnstənt/,"In this project, constant is important for writing clear and reliable code."
function,函数,/fʌŋkʃən/,"In this project, function is important for writing clear and reliable code."
method,方法,/meθəd/,"In this project, method is important for writing clear and reliable code."
parameter,参数,/pɚæmətɚ/,"In this project, parameter is important for writing clear and reliable code."
argument,实参,/ɑrɡjəmənt/,"In this project, argument is important for writing clear and reliable code."
return value,返回值,/rɪtɝn vælju/,"In this project, return value is important for writing clear and reliable code."
expression,表达式,/ɪkspreʃən/,"In this project, expression is important for writing clear and reliable code."
statement,语句,/steɪtmənt/,"In this project, statement is important for writing clear and reliable code."
operator,运算符,/ɑpɚeɪtɚ/,"In this project, operator is important for writing clear and reliable code."
operand,操作数,/ˈɑpəˌrænd/,"In this project, operand is important for writing clear and reliable code."
syntax,语法,/sɪntæks/,"In this project, syntax is important for writing clear and reliable code."
semantics,语义,/sɪmæntɪks/,"In this project, semantics is important for writing clear and reliable code."
compiler,编译器,/kəmpaɪlɚ/,"In this project, compiler is important for writing clear and reliable code."
interpreter,解释器,/ɪntɝprətɚ/,"In this project, interpreter is important for writing clear and reliable code."
debugger,调试器,/diˈbʌɡər/,"In this project, debugger is important for writing clear and reliable code."
runtime,运行时,/ˈrʌnˌtaɪm/,"In this project, runtime is important for writing clear and reliable code."
source code,源代码,/sɔrs koʊd/,"In this project, source code is important for writing clear and reliable code."
bytecode,字节码,/ˈbaɪtˌkoʊd/,"In this project, bytecode is important for writing clear and reliable code."
library,库,/laɪbreri/,"In this project, library is important for writing clear and reliable code."
framework,框架,/freɪmwɝk/,"In this project, framework is important for writing clear and reliable code."
package,包,/pækədʒ/,"In this project, package is important for writing clear and reliable code."
module,模块,/mɑdʒul/,"In this project, module is important for writing clear and reliable code."
dependency,依赖,/dɪpendənsi/,"In this project, dependency is important for writing clear and reliable code."
namespace,命名空间,/ˈneɪmˌspeɪs/,"In this project, namespace is important for writing clear and reliable code."
identifier,标识符,/aɪdentəfaɪɚ/,"In this project, identifier is important for writing clear and reliable code."
comment,注释,/kɑment/,"In this project, comment is important for writing clear and reliable code."
documentation,文档,/dɑkjəmenteɪʃən/,"In this project, documentation is important for writing clear and reliable code."
recursion,递归,/rɪˈkɜrʒən/,"In this project, recursion is important for writing clear and reliable code."
iteration,迭代,/ɪtɚeɪʃən/,"In this project, iteration is important for writing clear and reliable code."
loop,循环,/lup/,"In this project, loop is important for writing clear and reliable code."
conditional,条件语句,/kəndɪʃənəl/,"In this project, conditional is important for writing clear and reliable code."
boolean,布尔值,/buliən/,"In this project, boolean is important for writing clear and reliable code."
integer,整数,/ɪntədʒɚ/,"In this project, integer is important for writing clear and reliable code."
floating point,浮点数,/floʊtɪŋ pɔɪnt/,"In this project, floating point is important for writing clear and reliable code."
string,字符串,/strɪŋ/,"In this project, string is important for writing clear and reliable code."
character,字符,/kerɪktɚ/,"In this project, character is important for writing clear and reliable code."
array,数组,/ɚeɪ/,"In this project, array is important for writing clear and reliable code."
pointer,指针,/pɔɪntɚ/,"In this project, pointer is important for writing clear and reliable code."
reference,引用,/refɚəns/,"In this project, reference is important for writing clear and reliable code."
enumeration,枚举,/ɪnumɚeɪʃən/,"In this project, enumeration is important for writing clear and reliable code."
generic type,泛型类型,/dʒənerɪk taɪp/,"In this project, generic type is important for writing clear and reliable code."
type inference,类型推断,/taɪp ɪnfɚəns/,"In this project, type inference is important for writing clear and reliable code."
type casting,类型转换,/taɪp kæstɪŋ/,"In this project, type casting is important for writing clear and reliable code."
exception,异常,/ɪksepʃən/,"In this project, exception is important for writing clear and reliable code."
error handling,错误处理,/erɚ hændlɪŋ/,"In this project, error handling is important for writing clear and reliable code."
assertion,断言,/əsɝʃən/,"In this project, assertion is important for writing clear and reliable code."
logging,日志记录,/lɔɡɪŋ/,"In this project, logging is important for writing clear and reliable code."
profiling,性能分析,/proʊfaɪlɪŋ/,"In this project, profiling is important for writing clear and reliable code."
optimization,优化,/ɑptəməzeɪʃən/,"In this project, optimization is important for writing clear and reliable code."
refactoring,重构,/riˈfæktərɪŋ/,"In this project, refactoring is important for writing clear and reliable code."
code review,代码审查,/koʊd rivju/,"In this project, code review is important for writing clear and reliable code."
unit test,单元测试,/junət test/,"In this project, unit test is important for writing clear and reliable code."
integration test,集成测试,/ɪntəɡreɪʃən test/,"In this project, integration test is important for writing clear and reliable code."
mock object,模拟对象,/mɑk ɑbdʒekt/,"In this project, mock object is important for writing clear and reliable code."
build script,构建脚本,/bɪld skrɪpt/,"In this project, build script is important for writing clear and reliable code."
command line,命令行,/kəmænd laɪn/,"In this project, command line is important for writing clear and reliable code."
configuration file,配置文件,/kənfɪɡjɚeɪʃən faɪl/,"In this project, configuration file is important for writing clear and reliable code."
environment variable,环境变量,/ɪnvaɪrənmənt veriəbəl/,"In this project, environment variable is important for writing clear and reliable code."
object,对象,/ɑbdʒekt/,The team added object to keep the software architecture flexible.
class,类,/klæs/,The team added class to keep the software architecture flexible.
instance,实例,/ɪnstəns/,The team added instance to keep the software architecture flexible.
attribute,属性,/ætrəbjut/,The team added attribute to keep the software architecture flexible.
constructor,构造函数,/kənstrʌktɚ/,The team added constructor to keep the software architecture flexible.
destructor,析构函数,/dɪˈstrʌktər/,The team added destructor to keep the software architecture flexible.
inheritance,继承,/ɪnherətəns/,The team added inheritance to keep the software architecture flexible.
polymorphism,多态,/pɑlimɔrfɪzəm/,The team added polymorphism to keep the software architecture flexible.
encapsulation,封装,/ɪnˌkæpsjəˈleɪʃən/,The team added encapsulation to keep the software architecture flexible.
abstraction,抽象,/æbstrækʃən/,The team added abstraction to keep the software architecture flexible.
interface,接口,/ɪntɚfeɪs/,The team added interface to keep the software architecture flexible.
implementation,实现,/ɪmpləmenteɪʃən/,The team added implementation to keep the software architecture flexible.
override,重写,/oʊvɚraɪd/,The team added override to keep the software architecture flexible.
overload,重载,/oʊvɚloʊd/,The team added overload to keep the software architecture flexible.
composition,组合,/kɑmpəzɪʃən/,The team added composition to keep the software architecture flexible.
aggregation,聚合,/æɡrəɡeɪʃən/,The team added aggregation to keep the software architecture flexible.
design pattern,设计模式,/dɪzaɪn pætɚn/,The team added design pattern to keep the software architecture flexible.
singleton,单例模式,/sɪŋɡəltən/,The team added singleton to keep the software architecture flexible.
factory method,工厂方法,/fæktɚi meθəd/,The team added factory method to keep the software architecture flexible.
adapter pattern,适配器模式,/ədæptɚ pætɚn/,The team added adapter pattern to keep the software architecture flexible.
observer pattern,观察者模式,/əbzɝvɚ pætɚn/,The team added observer pattern to keep the software architecture flexible.
strategy pattern,策略模式,/strætədʒi pætɚn/,The team added strategy pattern to keep the software architecture flexible.
dependency injection,依赖注入,/dɪpendənsi ɪndʒekʃən/,The team added dependency injection to keep the software architecture flexible.
service locator,服务定位器,/sɝvəs loʊkeɪtɚ/,The team added service locator to keep the software architecture flexible.
event handler,事件处理器,/ɪvent hændlɚ/,The team added event handler to keep the software architecture flexible.
callback function,回调函数,/kɔlbæk fʌŋkʃən/,The team added callback function to keep the software architecture flexible.
closure,闭包,/kloʊʒɚ/,The team added closure to keep the software architecture flexible.
lambda expression,Lambda 表达式,/læmdə ɪkspreʃən/,The team added lambda expression to keep the software architecture flexible.
decorator,装饰器,/dekɚeɪtɚ/,The team added decorator to keep the software architecture flexible.
annotation,注解,/ænəteɪʃən/,The team added annotation to keep the software architecture flexible.
metadata,元数据,/ˈmetəˌdeɪtə/,The team added metadata to keep the software architecture flexible.
