word,definition,phonetic,example
alternating current,交流电,/ˌɔːltərˌneɪtɪŋ ˈkɝːənt/,Alternating current is widely used in power transmission systems.
direct current,直流电,/dəˌrɛkt ˈkɝːənt/,Direct current is supplied by most batteries.
voltage,电压,/ˈvoʊltɪdʒ/,The voltage across the resistor was measured with a multimeter.
current,电流,/ˈkɝːənt/,Current increases when the circuit resistance decreases.
resistance,电阻,/rɪˈzɪstəns/,The resistance of the wire depends on its material and length.
impedance,阻抗,/ɪmˈpiːdəns/,Impedance affects the behavior of AC circuits.
capacitance,电容,/kəˈpæsɪtəns/,Capacitance determines how much charge a capacitor can store.
inductance,电感,/ɪnˈdʌktəns/,The inductance of the coil influences the transient response.
power factor,功率因数,/ˈpaʊər ˌfæktər/,A low power factor can reduce system efficiency.
frequency,频率,/ˈfriːkwənsi/,The frequency of the supply is 50 hertz.
hertz,赫兹,/hɝːts/,The motor operates at a frequency of 60 hertz.
watt,瓦特,/wɑːt/,This lamp consumes 10 watts of power.
kilowatt,千瓦,/ˈkɪləwɑːt/,The generator has a rated output of 5 kilowatts.
megawatt,兆瓦,/ˈmɛɡəwɑːt/,The wind farm can deliver 200 megawatts.
kilowatt-hour,千瓦时,/ˈkɪləwɑːt ˈaʊər/,The household used 300 kilowatt-hours last month.
electric power,电功率,/ɪˈlɛktrɪk ˈpaʊər/,Electric power is the product of voltage and current.
active power,有功功率,/ˈæktɪv ˈpaʊər/,Active power performs useful work in the load.
reactive power,无功功率,/riˈæktɪv ˈpaʊər/,Reactive power supports the magnetic fields of motors.
apparent power,视在功率,/əˈpærənt ˈpaʊər/,Apparent power is measured in volt-amperes.
phase angle,相角,/feɪz ˈæŋɡəl/,The phase angle changed after the capacitor bank was connected.
single-phase,单相,/ˈsɪŋɡəl feɪz/,Single-phase power is common in residential buildings.
three-phase,三相,/ˌθriː ˈfeɪz/,Three-phase systems are widely used in industry.
phase sequence,相序,/feɪz ˈsiːkwəns/,Incorrect phase sequence can reverse motor rotation.
neutral wire,中性线,/ˈnuːtrəl waɪər/,The neutral wire completes the return path in the circuit.
ground wire,接地线,/ɡraʊnd waɪər/,The ground wire improves electrical safety.
earth fault,接地故障,/ɝːθ fɔːlt/,The relay detected an earth fault on the feeder.
short circuit,短路,/ʃɔːrt ˈsɝːkɪt/,A short circuit can cause severe equipment damage.
open circuit,开路,/ˈoʊpən ˈsɝːkɪt/,The sensor failed because the wire became an open circuit.
overload,过载,/ˌoʊvərˈloʊd/,The motor tripped due to overload.
surge,浪涌,/sɝːdʒ/,A voltage surge damaged the control board.
transient,暂态,/ˈtrænziənt/,The transient lasted only a few milliseconds.
harmonic,谐波,/hɑːrˈmɑːnɪk/,Harmonic distortion can overheat transformers.
distortion,畸变,/dɪˈstɔːrʃən/,The engineer measured waveform distortion at the inverter output.
ripple,纹波,/ˈrɪpəl/,The filter capacitor reduced the ripple voltage.
noise,噪声,/nɔɪz/,Electrical noise affected the sensor readings.
electromagnetic interference,电磁干扰,/ɪˌlɛktroʊmæɡˈnɛtɪk ˌɪntərˈfɪrəns/,Proper shielding can reduce electromagnetic interference.
electromagnetic compatibility,电磁兼容,/ɪˌlɛktroʊmæɡˈnɛtɪk kəmˌpætəˈbɪləti/,The product must pass electromagnetic compatibility testing.
shielding,屏蔽,/ˈʃiːldɪŋ/,Shielding protects the signal cable from interference.
grounding,接地,/ˈɡraʊndɪŋ/,Proper grounding is essential for safe operation.
bonding,等电位连接,/ˈbɑːndɪŋ/,Bonding reduces the voltage difference between metal parts.
