word,definition,phonetic,example
osteoporosis,骨质疏松症,/ˌɒstiəʊpəˈrəʊsɪs/,Osteoporosis increases the risk of fractures in older adults.
hypertension,高血压,/ˌhaɪpəˈtenʃən/,Uncontrolled hypertension can damage the heart and kidneys.
hypotension,低血压,/ˌhaɪpəˈtenʃən/,Severe hypotension may cause dizziness and fainting.
tachycardia,心动过速,/ˌtækɪˈkɑːrdiə/,The ECG showed tachycardia after the patient developed a fever.
bradycardia,心动过缓,/ˌbrædɪˈkɑːrdiə/,Bradycardia can be normal in well-trained athletes.
arrhythmia,心律失常,/əˈrɪðmiə/,The cardiologist monitored the arrhythmia overnight.
myocardial infarction,心肌梗死,/ˌmaɪəˈkɑːrdiəl ɪnˈfɑːrkʃən/,Rapid treatment can limit damage after a myocardial infarction.
angina,心绞痛,/ænˈdʒaɪnə/,Exercise triggered chest pain consistent with stable angina.
atherosclerosis,动脉粥样硬化,/ˌæθərəʊskləˈrəʊsɪs/,Smoking accelerates atherosclerosis in peripheral arteries.
thrombosis,血栓形成,/θrɒmˈbəʊsɪs/,Early mobilization reduces the risk of thrombosis after surgery.
embolism,栓塞,/ˈembəlɪzəm/,A pulmonary embolism can cause sudden shortness of breath.
aneurysm,动脉瘤,/ˈænjərɪzəm/,The scan revealed an abdominal aortic aneurysm.
ischemia,缺血,/ɪˈskiːmiə/,Prolonged ischemia may lead to irreversible tissue injury.
edema,水肿,/ɪˈdiːmə/,The nurse noted edema in both lower limbs.
cyanosis,发绀,/ˌsaɪəˈnəʊsɪs/,Cyanosis indicated that the infant was not getting enough oxygen.
dyspnea,呼吸困难,/dɪsˈpniːə/,The patient presented with dyspnea on exertion.
apnea,呼吸暂停,/ˈæpniə/,Sleep apnea is associated with daytime fatigue.
asthma,哮喘,/ˈæsmə/,Cold air can worsen asthma symptoms.
bronchitis,支气管炎,/brɒŋˈkaɪtɪs/,Acute bronchitis often follows a viral infection.
pneumonia,肺炎,/njuːˈməʊniə/,Chest imaging confirmed community-acquired pneumonia.
tuberculosis,结核病,/tjuːˌbɜːkjəˈləʊsɪs/,Tuberculosis requires prolonged combination therapy.
emphysema,肺气肿,/ˌemfɪˈsiːmə/,Long-term smoking is a major cause of emphysema.
pleurisy,胸膜炎,/ˈplʊərɪsi/,Deep breathing worsened the pain from pleurisy.
hemoptysis,咯血,/hɪˈmɒptɪsɪs/,Hemoptysis should always be investigated promptly.
sepsis,脓毒症,/ˈsepsɪs/,Broad-spectrum antibiotics were started for suspected sepsis.
bacteremia,菌血症,/ˌbæktəˈriːmiə/,Positive blood cultures confirmed bacteremia.
viremia,病毒血症,/vaɪˈriːmiə/,Viremia can occur early in the course of infection.
fungemia,真菌血症,/fʌnˈdʒiːmiə/,The immunocompromised patient developed fungemia.
inflammation,炎症,/ˌɪnfləˈmeɪʃən/,Persistent inflammation may delay wound healing.
infection,感染,/ɪnˈfekʃən/,Strict hand hygiene helps prevent infection.
immunity,免疫力；免疫,/ɪˈmjuːnəti/,Vaccination strengthens immunity against certain diseases.
antibody,抗体,/ˈæntɪbɒdi/,The laboratory detected antibodies to the virus.
antigen,抗原,/ˈæntɪdʒən/,The vaccine exposes the immune system to a harmless antigen.
pathogen,病原体,/ˈpæθədʒən/,The pathogen spread rapidly in crowded environments.
epidemic,流行病,/ˌepɪˈdemɪk/,Public health officials acted quickly to contain the epidemic.
pandemic,大流行病,/pænˈdemɪk/,The pandemic changed hospital triage procedures worldwide.
endemic,地方性流行的,/enˈdemɪk/,Malaria is endemic in some tropical regions.
diagnosis,诊断,/ˌdaɪəɡˈnəʊsɪs/,Early diagnosis improves the chance of recovery.
prognosis,预后,/prɒɡˈnəʊsɪs/,The prognosis depends on the stage of the disease.
symptom,症状,/ˈsɪmptəm/,Fever was the patient's first symptom.
syndrome,综合征,/ˈsɪndrəʊm/,Metabolic syndrome increases cardiovascular risk.
etiology,病因学；病因,/ˌiːtiˈɒlədʒi/,The etiology of the condition remains unclear.
pathology,病理学；病理,/pəˈθɒlədʒi/,The biopsy was sent to pathology for analysis.
histology,组织学,/hɪˈstɒlədʒi/,Histology showed chronic inflammatory changes.
cytology,细胞学,/saɪˈtɒlədʒi/,Cytology can help detect abnormal cervical cells.
biopsy,活组织检查,/ˈbaɪɒpsi/,A biopsy was performed to confirm the diagnosis.
lesion,病变；损伤,/ˈliːʒən/,MRI detected a small lesion in the liver.
malignancy,恶性肿瘤；恶性,/məˈlɪɡnənsi/,The surgeon ruled out malignancy after the operation.
benign,良性的,/bɪˈnaɪn/,The nodule was benign and required no treatment.
metastasis,转移,/məˈtæstəsɪs/,Bone pain may indicate metastasis in advanced cancer.
oncology,肿瘤学,/ɒŋˈkɒlədʒi/,She began her rotation in oncology this month.
carcinoma,癌；癌瘤,/ˌkɑːsɪˈnəʊmə/,The pathology report identified a basal cell carcinoma.
sarcoma,肉瘤,/sɑːˈkəʊmə/,Sarcoma is a rare cancer of connective tissue.
lymphoma,淋巴瘤,/lɪmˈfəʊmə/,Chemotherapy is commonly used to treat lymphoma.
leukemia,白血病,/luːˈkiːmiə/,The child was diagnosed with acute leukemia.
anemia,贫血,/əˈniːmiə/,Iron deficiency is a common cause of anemia.
hemorrhage,出血；大出血,/ˈhemərɪdʒ/,Prompt intervention controlled the postoperative hemorrhage.
hematoma,血肿,/ˌhiːməˈtəʊmə/,A hematoma developed near the incision site.
coagulation,凝血,/kəʊˌæɡjuˈleɪʃən/,The lab measured coagulation before surgery.
platelet,血小板,/ˈpleɪtlət/,A low platelet count increases bleeding risk.
hemoglobin,血红蛋白,/ˈhiːməɡləʊbɪn/,Her hemoglobin level improved after treatment.
hematocrit,红细胞比容,/hɪˈmætəkrɪt/,Dehydration can falsely elevate the hematocrit.
neutropenia,中性粒细胞减少,/ˌnjuːtrəˈpiːniə/,Chemotherapy-induced neutropenia raises infection risk.
